metrics	Metric Value
ranking loss	0.03510093640001261
one error	0.07390300230946882
coverage	3.3394919168591226
average auprc	0.8862390216227827
weighted auprc	0.8859189210828928
micro f1	0.8315290933694182
micro recall	0.8667136812411848
micro precision	0.7990897269180754
macro f1	0.8277827006877548
macro recall	0.8143123334040747
macro precision	0.8622657561855611
subset accuracy	0.3810623556581986
hamming loss	0.06765385137888874
ml_f_one	0.8303801407727505
ml_recall	0.8711481359287365
ml_precision	0.8215990322225889
