metrics	Metric Value
ranking loss	0.0366408995161882
one error	0.050808314087759814
coverage	3.4041570438799074
average auprc	0.8512357764203564
weighted auprc	0.8839330981954324
micro f1	0.8274622573687994
micro recall	0.811706629055007
micro precision	0.843841642228739
macro f1	0.7720758678448646
macro recall	0.7169690965880143
macro precision	0.9120671771396074
subset accuracy	0.418013856812933
hamming loss	0.06520853144953132
ml_f_one	0.8312258180618458
ml_recall	0.8310348619817443
ml_precision	0.8626250962278675
