metrics	Metric Value
ranking loss	0.04007079333291805
one error	0.08083140877598152
coverage	3.4295612009237875
average auprc	0.8579128149478261
weighted auprc	0.8710434692694546
micro f1	0.809905316824472
micro recall	0.7842031029619182
micro precision	0.8373493975903614
macro f1	0.7927217262981586
macro recall	0.7458980551584107
macro precision	0.864573551926239
subset accuracy	0.3995381062355658
hamming loss	0.0709142779513653
ml_f_one	0.8124116196864465
ml_recall	0.809595293082591
ml_precision	0.8497470581766193
