metrics	Metric Value
ranking loss	0.03394680761886305
one error	0.07159353348729793
coverage	3.2632794457274823
average auprc	0.876883075675738
weighted auprc	0.8880950178995739
micro f1	0.8194147037830122
micro recall	0.8095909732016925
micro precision	0.8294797687861272
macro f1	0.8057340195334387
macro recall	0.7508469570982766
macro precision	0.9014939905157154
subset accuracy	0.41570438799076215
hamming loss	0.06874066023638092
ml_f_one	0.817889359806219
ml_recall	0.8260310128670405
ml_precision	0.838518640712636
