metrics	Metric Value
ranking loss	0.18664386998682608
one error	0.26558891454965355
coverage	6.722863741339492
average auprc	0.383758806317712
weighted auprc	0.6661131140744163
micro f1	0.60828025477707
micro recall	0.538787023977433
micro precision	0.6983546617915904
macro f1	0.1911328815498236
macro recall	0.2104448132711116
macro precision	0.21960768910229664
subset accuracy	0.12702078521939955
hamming loss	0.13367748947153918
ml_f_one	0.5592768663207462
ml_recall	0.5231991641922359
ml_precision	0.6510777521170131
