metrics	Metric Value
ranking loss	0.1835668661592449
one error	0.23094688221709006
coverage	6.612009237875289
average auprc	0.3704544147231138
weighted auprc	0.6688864612596372
micro f1	0.6398122800156434
micro recall	0.5768688293370945
micro precision	0.7181738366988587
macro f1	0.27157576462766914
macro recall	0.2694094802872572
macro precision	0.3162771237034634
subset accuracy	0.19399538106235567
hamming loss	0.12511886971878822
ml_f_one	0.6059396338842066
ml_recall	0.568772682283075
ml_precision	0.6913394919168591
